date,actual_eod,predicted_eod,pred_std,prev_eod,decision,confidence,qty_scaled,cash,btc,portfolio_value
2025-01-02,96890.3945,99060.04507291355,7564.1425246861745,94427.3005,HOLD,1.0,0.01,10000.0,0.0,10000.0
2025-01-03,98119.2565,115975.12801000633,8328.619611081751,96890.3945,BUY,1.0,0.01,9018.807435,0.01,10000.0
2025-01-04,98235.2405,112974.43339806302,9166.316799408158,98119.2565,BUY,1.0,0.01,8036.455030000001,0.02,10001.15984
2025-01-05,98313.25,106351.47487782991,8373.767950820236,98235.2405,BUY,1.0,0.01,7053.322530000001,0.03,10002.72003
2025-01-06,102291.55,137993.16593299367,8384.412752381339,98313.25,BUY,0.19799500733552888,0.0019799500733552887,6850.7903680738755,0.03197995007335529,10122.069030000002
2025-01-07,96945.375,126356.28908119022,12191.515015364786,102291.55,HOLD,0.0,0.0,6850.7903680738755,0.03197995007335529,9951.098620416582
2025-01-08,95063.995,103078.6668800581,7541.5229791667325,96945.375,BUY,0.33929653477341726,0.0033929653477341726,6528.2415272217,0.03537291542108946,9890.932181947572
2025-01-09,92571.634,131157.18765186318,9571.242088285288,95063.995,BUY,0.16884665517561714,0.0016884665517561716,6371.937419571286,0.03706138197284563,9802.77010709575
2025-01-10,94710.4275,87803.42696699045,8329.567754198419,92571.634,SELL,0.27597717536349464,0.0027597717536349464,6633.316582160477,0.03430161021921068,9882.036749960289
2025-01-11,94531.1745,91015.89969230191,10540.240739840094,94710.4275,HOLD,0.12482074482637695,0.0012482074482637695,6633.316582160477,0.03430161021921068,9875.888083423666
2025-01-12,94512.89,120561.66719451726,12505.276952451899,94531.1745,HOLD,0.0,0.0,6633.316582160477,0.03430161021921068,9875.260895631613
2025-01-13,94511.24,96609.53022469206,11582.090044931321,94512.89,BUY,0.11803244197436025,0.0011803244197436025,6521.762657648229,0.035481934638954285,9875.204297974751
2025-01-14,96518.83,112890.2741668294,7413.703953909111,94511.24,BUY,0.411270636086039,0.00411270636086039,6124.809051564426,0.039594640999814676,9946.437475136569
2025-01-15,100511.3465,101884.5166251276,11050.584704784658,96518.83,HOLD,0.16743718307756816,0.0016743718307756818,6124.809051564426,0.039594640999814676,10104.519732639907
2025-01-16,99991.895,159277.29960801837,10858.885087273648,100511.3465,BUY,0.18676089504856574,0.0018676089504856574,5938.063293486404,0.04146224995030033,10083.952236980589
2025-01-17,104118.45,116370.67346873418,10576.251682681524,99991.895,BUY,0.17824861328263442,0.0017824861328263441,5752.473600190031,0.04324473608312668,10255.048491824251
