timestamp,action,price,btc,cash
2024-11-06 08:00:00+00:00,BUY,73479.845,0.001,9156.383179500008
2024-11-06 09:00:00+00:00,BUY,73837.3085,0.001,9082.545871000008
2024-11-06 10:00:00+00:00,BUY,73872.98,0.001,9008.672891000007
2024-11-06 11:00:00+00:00,BUY,74300.3785,0.001,8934.372512500007
2024-11-06 13:00:00+00:00,BUY,74015.28,0.001,8860.357232500008
2024-11-06 14:00:00+00:00,BUY,73654.236,0.001,8786.702996500007
2024-11-12 01:00:00+00:00,BUY,88676.7825,0.001,8698.026214000007
2024-11-12 02:00:00+00:00,BUY,87838.54,0.001,8610.187674000006
2024-11-12 03:00:00+00:00,BUY,88176.418,0.001,8522.011256000005
2024-11-12 04:00:00+00:00,BUY,88559.747,0.001,8433.451509000006
2024-11-12 05:00:00+00:00,BUY,88412.925,0.001,8345.038584000005
2024-11-12 07:00:00+00:00,BUY,89084.45,0.001,8255.954134000005
2024-11-12 08:00:00+00:00,BUY,89405.9,0.001,8166.548234000005
2024-11-12 09:00:00+00:00,BUY,87774.195,0.001,8078.774039000005
2024-11-12 10:00:00+00:00,BUY,86886.0495,0.001,7991.8879895000055
2024-11-12 11:00:00+00:00,BUY,87304.8285,0.001,7904.583161000005
2024-12-24 20:00:00+00:00,BUY,97280.7405,0.001,7807.302420500005
2024-12-24 21:00:00+00:00,BUY,98330.912,0.001,7708.971508500004
2024-12-25 01:00:00+00:00,BUY,97910.12,0.001,7611.061388500005
2025-01-07 19:00:00+00:00,SELL,96399.285,0.001,7707.460673500005
2025-01-07 20:00:00+00:00,SELL,96517.138,0.001,7803.977811500005
2025-01-08 01:00:00+00:00,SELL,96852.175,0.001,7900.829986500005
2025-01-20 07:00:00+00:00,SELL,107002.5065,0.001,8007.832493000005
2025-01-20 08:00:00+00:00,SELL,108199.846,0.001,8116.032339000006
2025-01-20 13:00:00+00:00,BUY,107826.471,0.001,8008.2058680000055
2025-01-20 14:00:00+00:00,BUY,107739.123,0.001,7900.466745000005
2025-01-20 15:00:00+00:00,BUY,104878.935,0.001,7795.587810000005
2025-01-20 16:00:00+00:00,BUY,106572.73,0.001,7689.015080000006
2025-01-21 01:00:00+00:00,SELL,101377.07,0.001,7790.392150000005
2025-01-21 02:00:00+00:00,SELL,102411.3795,0.001,7892.803529500005
2025-01-21 03:00:00+00:00,SELL,102851.672,0.001,7995.655201500005
2025-01-27 07:00:00+00:00,SELL,99036.1665,0.001,8094.691368000005
2025-01-27 08:00:00+00:00,SELL,98966.0,0.001,8193.657368000006
2025-02-03 07:00:00+00:00,SELL,95400.945,0.001,8289.058313000005
2025-02-03 08:00:00+00:00,SELL,95441.13,0.001,8384.499443000004
2025-02-03 09:00:00+00:00,SELL,95369.25,0.001,8479.868693000004
2025-02-03 19:00:00+00:00,BUY,102020.75,0.001,8377.847943000004
2025-02-03 20:00:00+00:00,BUY,101223.4315,0.001,8276.624511500004
2025-02-04 01:00:00+00:00,BUY,101516.285,0.001,8175.108226500004
2025-02-04 02:00:00+00:00,BUY,100932.321,0.001,8074.175905500004
2025-02-04 03:00:00+00:00,BUY,100729.7795,0.001,7973.4461260000035
2025-02-25 19:00:00+00:00,SELL,87800.5925,0.001,8061.246718500003
2025-02-25 20:00:00+00:00,SELL,88068.03,0.001,8149.314748500004
2025-02-27 02:00:00+00:00,SELL,84181.1,0.001,8233.495848500004
2025-02-28 13:00:00+00:00,SELL,81496.018,0.001,8314.991866500004
2025-02-28 14:00:00+00:00,SELL,82110.721,0.001,8397.102587500005
2025-02-28 15:00:00+00:00,SELL,84007.7,0.001,8481.110287500005
2025-02-28 16:00:00+00:00,SELL,84333.49,0.001,8565.443777500006
2025-02-28 17:00:00+00:00,SELL,83615.675,0.001,8649.059452500005
2025-03-03 01:00:00+00:00,BUY,93087.2,0.001,8555.972252500005
