date,actual_eod,predicted_eod,pred_std,prev_eod,decision,cash,btc_available,btc_locked,btc_total,portfolio_value
2024-05-27,69400.895,68377.97590599238,0.2104535,68487.795,BUY,9426.653753812774,0.004130683373659849,0.004130683373659849,0.008261366747319698,10000.0
2024-05-28,68327.35,69272.14283653766,0.27370796,69400.895,HOLD,9426.653753812774,0.004130683373659849,0.004130683373659849,0.008261366747319698,9991.131051035249
2024-05-29,67572.65,68143.25502249897,0.2353977,68327.35,HOLD,9426.653753812774,0.004130683373659849,0.004130683373659849,0.008261366747319698,9984.896197551046
2024-05-30,68359.555,67397.0890344113,0.27231887,67572.65,BUY,8889.370554072848,0.008060515858232975,0.008060515858232975,0.01612103171646595,9991.397108351346
2024-05-31,67494.787,68295.94724689572,0.17770663,68359.555,HOLD,8889.370554072848,0.008060515858232975,0.008060515858232975,0.01612103171646595,9977.456155995962
2024-06-01,67733.3915,67356.1583464002,0.21019521,67494.787,BUY,8329.680752313554,0.012192080728709698,0.012192080728709698,0.024384161457419395,9981.302706708153
2024-06-02,67764.61,67596.58610246748,0.33611003,67733.3915,HOLD,8329.680752313554,0.012192080728709698,0.012192080728709698,0.024384161457419395,9982.06394365261
2024-06-03,68798.585,67588.0858069849,0.3060191,67764.61,BUY,7802.899895729725,0.016020508483052254,0.016020508483052254,0.03204101696610451,10007.276524958708
2024-06-04,70571.5085,68687.2300782016,0.17817618,68798.585,HOLD,7802.899895729725,0.016020508483052254,0.016020508483052254,0.03204101696610451,10064.082796901814
2024-06-05,71119.275,70429.22736855289,0.24937215,70571.5085,BUY,7233.65979850499,0.020022518932819366,0.020022518932819366,0.04004503786563873,10081.633858856763
2024-06-06,70774.415,70948.50106988847,0.28975764,71119.275,HOLD,7233.65979850499,0.020022518932819366,0.020022518932819366,0.04004503786563873,10067.82392709842
2024-06-07,69341.292,70605.39300697058,0.22943245,70774.415,SELL,7797.670372782756,0.011888684704899788,0.020022518932819366,0.031911201775074005,10010.434333139081
2024-06-08,69305.627,69252.12529715682,0.22841296,69341.292,HOLD,7797.670372782756,0.011888684704899788,0.020022518932819366,0.031911201775074005,10009.296220127773
2024-06-09,69659.9835,69239.65180072874,0.1900882,69305.627,BUY,7212.335732180303,0.01609005406498909,0.02422388829290867,0.04031394422054291,10020.604421403243
2024-06-10,69506.635,69522.65831480366,0.3010497,69659.9835,HOLD,7212.335732180303,0.01609005406498909,0.02422388829290867,0.04031394422054291,10014.422338527938
2024-06-11,67318.9745,69409.83571418434,0.21961625,69506.635,SELL,7764.304178636907,0.007890754379332066,0.02422388829290867,0.03211464360356331,9926.229052461773
2024-06-12,68247.6,67153.40172774934,0.24708419,67318.9745,BUY,7217.046803008778,0.011900106444954872,0.02823324128985405,0.04013334959745407,9956.051592995984
